Date, Close/Last, Volume, Open, High, Low
01/20/2021, $213.63, 4077731, $210.15, $214.41, $209.63
01/19/2021, $209.09, 3331595, $210.68, $211, $207.88
01/15/2021, $209.91, 3593732, $207.97, $210.7, $207.4203
01/14/2021, $208.5, 3666716, $212.1, $212.67, $208
01/13/2021, $212.09, 2069926, $210.91, $213.13, $210.9046
01/12/2021, $211.6, 2951952, $213.69, $214.33, $210.94
01/11/2021, $214.23, 2545893, $215.09, $216.12, $213.1234
01/08/2021, $215.87, 2639146, $212.9, $216.12, $212.23
01/07/2021, $211.98, 3142014, $213.22, $213.22, $210.56
01/06/2021, $211, 3083426, $211.3, $211.7083, $209.03
01/05/2021, $211.48, 2576065, $210.18, $211.95, $209.62
01/04/2021, $210.22, 4055409, $214.49, $214.72, $208.22
12/31/2020, $214.58, 2610914, $211.25, $214.93, $210.78
12/30/2020, $211.56, 1854990, $212.96, $213.36, $211.28
12/29/2020, $212.71, 1665725, $214.64, $215.78, $212.45
12/28/2020, $214.02, 2550104, $212.99, $214.88, $212.19
12/24/2020, $211.39, 1047650, $212.12, $212.74, $211.14
12/23/2020, $212.02, 1658765, $212.3, $213.4338, $211.79
12/22/2020, $211.92, 2773709, $211.2, $212.905, $210.37
12/21/2020, $211.67, 4342480, $210.62, $212.55, $208.01
12/18/2020, $215.08, 7929060, $215.15, $216.85, $213.82
12/17/2020, $214.25, 2558810, $215.39, $215.785, $213.53
12/16/2020, $213.8, 2681984, $214.88, $217.51, $213.66
12/15/2020, $214.86, 3799294, $213.22, $216.21, $212.7392
12/14/2020, $211.92, 4744960, $210.73, $214.74, $210.21
12/11/2020, $207.76, 2770817, $207.47, $208.94, $206.73
12/10/2020, $208.04, 2956368, $208.5, $208.76, $207.07
12/09/2020, $208.69, 3011056, $209.49, $209.5271, $207.33
12/08/2020, $208.39, 2709447, $206.55, $209.1, $206.41
12/07/2020, $208.89, 3826001, $208.53, $209.11, $206.19
12/04/2020, $210.74, 3151060, $211.6, $213.38, $210.1
12/03/2020, $211.51, 3732543, $210.94, $213.23, $210.5581
12/02/2020, $210.86, 6223661, $214, $214.4, $209.13
12/01/2020, $216.14, 4226275, $218.88, $218.93, $215.53
11/30/2020, $217.44, 3413588, $216.46, $217.57, $214.43
11/27/2020, $218.33, 1394366, $219.02, $220.4, $217.66
11/25/2020, $219.34, 1889200, $219.98, $220.59, $217.92
11/24/2020, $219.71, 3872224, $219.01, $221.25, $218.25
11/23/2020, $217, 3011272, $215.14, $217.6, $214.65
11/20/2020, $214.09, 3932954, $214.39, $215.215, $213.625
11/19/2020, $215.11, 2840460, $214.84, $215.48, $213.33
11/18/2020, $215.52, 3095154, $216.1, $217.84, $215.41
11/17/2020, $216.01, 2443547, $215.6, $217.39, $214.02
11/16/2020, $216.73, 3702131, $215.5, $216.75, $213.6301
11/13/2020, $213.28, 3072628, $213.76, $214.39, $212.34
11/12/2020, $213.07, 4257495, $217.56, $217.82, $210.88
11/11/2020, $218.02, 4127212, $214.81, $219.25, $214.3
11/10/2020, $213.32, 4255577, $215.75, $215.99, $211.34
11/09/2020, $213.22, 7981211, $226.79, $227.8477, $207.17
11/06/2020, $216.56, 3916076, $216, $217.885, $214.25
11/05/2020, $216.31, 3622023, $216.07, $218.2, $214.68
11/04/2020, $214.87, 3360836, $215, $219.47, $213.3
11/03/2020, $216.8, 2615017, $215.59, $218.1, $213.95
11/02/2020, $212.56, 2983362, $215.88, $216.32, $210.79
10/30/2020, $213, 3451419, $213.6, $215.22, $209.905
10/29/2020, $214.95, 2477582, $214.69, $217.65, $213.07
10/28/2020, $214.69, 3273074, $218.39, $220.5916, $214.46
10/27/2020, $222.97, 1801922, $224.47, $225.23, $222.72
10/26/2020, $224.27, 2538058, $226.78, $227.25, $220.97
10/23/2020, $228.71, 2278124, $230.41, $230.41, $227.8
10/22/2020, $229.15, 1961450, $227.76, $229.4, $226.875
10/21/2020, $228.19, 1518200, $227.23, $229.49, $227.21
10/20/2020, $227.45, 1883639, $226.74, $230, $226.43
10/19/2020, $226, 2009635, $229.55, $231.02, $225.17
10/16/2020, $229.37, 2162939, $229.77, $231.91, $229.1501
10/15/2020, $229.64, 2178247, $226.15, $230, $225.59
10/14/2020, $227.62, 1862687, $228.41, $229.4803, $227.35
10/13/2020, $227.35, 2098972, $225.7, $228.58, $224.93
10/12/2020, $226.11, 2412627, $224.81, $226.51, $223.12
10/09/2020, $224.83, 3237709, $226.94, $227.22, $223.12
10/08/2020, $225.8, 3195785, $226.09, $227.08, $224.29
10/07/2020, $226.48, 1972777, $225.58, $228.41, $225.125
10/06/2020, $224.09, 2453627, $226.83, $228.66, $223.6
10/05/2020, $226.07, 2913824, $224.86, $226.5, $224.01
10/02/2020, $222.67, 3833110, $217.51, $223.3499, $217.1
10/01/2020, $219.59, 2443348, $221.59, $223, $217.79
09/30/2020, $219.49, 3034100, $218.87, $222.2, $218.41
09/29/2020, $218.68, 1732275, $220.42, $220.955, $218.4783
09/28/2020, $220.26, 2112107, $220, $221.98, $219.02
09/25/2020, $218.18, 2196831, $215.3, $219.25, $213.65
09/24/2020, $216.12, 1727041, $214.75, $218.41, $213.59
09/23/2020, $214.97, 2777715, $217.67, $219.685, $214.24
09/22/2020, $216.41, 2475978, $216.43, $216.96, $214.55
09/21/2020, $216.41, 2831750, $217.14, $218.045, $213.4
09/18/2020, $220.27, 3861750, $221.62, $223.57, $220.13
09/17/2020, $222.58, 3376985, $223.7, $223.73, $220.5
09/16/2020, $224.81, 3464160, $222.17, $226.72, $221.3
09/15/2020, $222.37, 2640872, $221.76, $223.64, $221.4
09/14/2020, $220.56, 2544140, $219.72, $222.59, $219.34
09/11/2020, $218, 3616483, $217.69, $219.18, $216.28
09/10/2020, $217.24, 3325601, $215.72, $219.48, $215.72
09/09/2020, $215.71, 3213195, $215, $218.17, $214.44
09/08/2020, $213.58, 4107917, $211.18, $216.3, $211.06
09/04/2020, $211.73, 3828823, $215.29, $217.78, $210.76
09/03/2020, $213.8, 3126675, $218.11, $218.11, $211.9
09/02/2020, $216.23, 4091998, $213.25, $217.13, $212.69
09/01/2020, $212.69, 2926889, $210.84, $213.61, $210.5816
08/31/2020, $213.52, 2900867, $213.52, $214.99, $212.81
08/28/2020, $214.91, 3212491, $212.82, $216.71, $211.77
08/27/2020, $212.19, 3226762, $214.34, $216.1, $212.1
08/26/2020, $213.76, 2316855, $212.09, $214.42, $211.6
08/25/2020, $212.65, 2302456, $213.96, $214.185, $212.22
08/24/2020, $212.62, 2463937, $212.26, $213.5, $210.93
08/21/2020, $211.57, 3484853, $209.96, $212.185, $209.26
08/20/2020, $209.88, 2085063, $208.12, $210.99, $208.1
08/19/2020, $209.51, 2711113, $210.22, $211.17, $208.64
08/18/2020, $210.32, 2921676, $209.26, $210.43, $207.23
08/17/2020, $208.67, 2619046, $206.94, $209.5, $206.85
08/14/2020, $207.03, 2060237, $205.95, $207.33, $205.2
08/13/2020, $206.49, 1795023, $205.96, $207.25, $205.35
08/12/2020, $206.02, 2167353, $206.86, $207.4, $205.38
